,,,,,,,,,,,,,,,,EC Lab,,,
filename,Rsep,R1,Q,Î±,,k,A,eps,d,,tau,,,File Name,,Rsep,R,t1,a1
RM_stacked second run D12_1_C03.mpt,132.2884575,461.695981,0.002291839,0.953038943,,0.0353,9.42E-05,0.41,1.06E-04,,5.936451317,5.938266631,,RM_stacked second run D12_1_C03.mpt,,132.2884585,923.3919039,1.061083104,0.953038939
RM_stacked second run D12_2_C04.mpt,131.0200639,489.2976059,0.002295342,0.95636304,,0.0353,9.42E-05,0.43,1.12E-04,,6.24476858,6.246678174,,RM_stacked second run D12_2_C04.mpt,,131,978.5952076,1.129070697,0.95636304
RM_stacked second run D3_1_C07.mpt,155.5667869,1162.386509,0.010569768,0.969030363,,0.0353,9.42E-05,0.52,5.80E-04,,3.464325863,3.465385222,,RM_stacked second run D3_1_C07.mpt,,155.6,2 325,13.31,0.969
RM_stacked second run D3_2_C08.mpt,152.3541043,1114.7758,0.010597553,0.965594253,,0.0353,9.42E-05,0.52,5.94E-04,,3.246855625,3.245114606,,RM_stacked second run D3_2_C08.mpt,,152.4,2 230,12.9,0.9656
RM_stacked second run S12_1_C05.mpt,140.9897552,200,0.001076264,0.93605061,,0.0353,9.42E-05,0.41,5.20E-05,,4.296147243,5.243679231,,RM_stacked second run S12_1_C05.mpt,,141,327.8,0.156 7,0.9361
RM_stacked second run S12_2_C06.mpt,131.2323422,157.8133662,0.001083061,0.930057234,,0.0353,9.42E-05,0.43,5.40E-05,,4.177450423,4.178727849,,RM_stacked second run S12_2_C06.mpt,,131.2,315.6,0.149 7,0.9301
RM_stacked second run S3_1_C03.mpt,160.5757381,498.5545278,0.004888143,0.958544969,,0.0353,9.42E-05,0.53,2.68E-04,,3.277529169,3.278531408,,RM_stacked second run S3_1_C03.mpt,,160.6,997.1,2.533,0.9585
RM_stacked second run S3_2_C04.mpt,145.9073033,510.6233045,0.004939478,0.961726072,,0.0353,9.42E-05,0.52,2.69E-04,,3.281289287,3.282292676,,RM_stacked second run S3_2_C04.mpt,,145.9,1 021,2.617,0.9617
