filename,Rsep,R1,R1R2,R1Q1,R2Q2,delta,Î±,,R2,Q1,Q2,,k (in SI),eps 1,eps 2,eps,A,d,d1,d2,,,tau 1,tau 2,Nm1,Nm2,delta,,delta_actual,,Names
RM_stacked second run DS_12+3_1_C07.mpt,159.6648382,3697.258771,9672058.65,128.3261198,1.734803635,0.167074951,0.97008261,,2616.008034,0.03470845,0.000663149,,0.0353,0.53,0.41,0.50333,9.42E-05,0.000342,0.000268,0.000053,,,114.0364995,62.41817843,215.1632066,152.2394596,0.499997971,,,,RM_stacked second run DS_12+3_1_C07.mpt
RM_stacked second run DS_12+3_2_C08.mpt,173.5913155,1429.016315,10810485.24,17.77694976,4.78020016,0.499814909,0.972048241,,7564.983777,0.012439991,0.000631885,,0.0353,0.53,0.41,0.490702,9.42E-05,0.000343,0.000268,0.000053,,,14.6904581,60.16087438,27.71784547,146.73384,0.500000764,,,,RM_stacked second run DS_12+3_2_C08.mpt
RM_stacked second run DS_3+12_1_C05.mpt,158.4367671,5061.285448,9844289.651,157.003229,0.001488363,0.204584536,0.967751173,,1945.017674,0.031020426,7.65218E-07,,0.0353,0.41,0.53,0.489452888,9.42E-05,0.000329,0.000053,0.000268,,,102.518347,50.92796566,250.0447488,96.09050125,0.182202835,,,,RM_stacked second run DS_3+12_1_C05.mpt
RM_stacked second run DS_3+12_2_C06.mpt,148.4559959,5071.095227,9818335.599,164.229867,0.001233315,0.199905822,0.971728186,,1936.137099,0.032385483,6.36998E-07,,0.0353,0.41,0.53,0.493532934,9.42E-05,0.000334,0.000053,0.000268,,,103.5474292,51.10526851,252.5547053,96.42503493,0.182561577,,,,RM_stacked second run DS_3+12_2_C06.mpt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,S12 thickness,52,micron,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,S3 thickness,269,micron,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,delta,0.19330855,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.80669145,,,,,,,,,,,,,,,,,,,,,,,,,,,
